UNITID,mn_earn_wne_p6,md_earn_wne_p6,CONTROL,PREDDEG,UGDS,INEXPFTE,PPTUG_EF,C150_4,AVGFACSAL,ADM_RATE_ALL,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOld,UGDS_HISPOld,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,PAR_ED_PCT_1STGEN,PAR_ED_PCT_MS,PAR_ED_PCT_HS,PAR_ED_PCT_PS,pct_grad_prof,female,first_gen,age_entry,DEBT_MDN
162007,42200,39800,1,3,3831,4795,0.1921,0.3754,5786,0.6449,880,4722,12065,0.0551,0.8982,0.0131,0.0029,0.0141,0.460459899,0.204711161,0.172181716,0.112731352,0.049915872,0.415946844,0.021262459,0.394684385,0.584053156,10.80000019,0.670000017,0.419999987,22.04000092,10500
162283,33600,31000,1,3,3152,4600,0.2367,0.2173,5781,0.5554,875,4384,10206,0.0089,0.9597,0.0025,0.0029,0.0051,0.674939467,0.177966102,0.086561743,0.040556901,0.019975787,0.512638231,0.044233807,0.468404423,0.487361769,8.619999886,0.75,0.50999999,24.38999939,9906.5
162760,38300,38300,2,3,808,8645,0.1683,0.7654,5421,0.7774,1075,20275,20275,0.6671,0.1337,0.0173,0.0025,0.0223,0.28490566,0.156603774,0.218867925,0.230188679,0.109433962,0.355555556,0.014141414,0.341414141,0.644444444,12.51000023,0.850000024,0.360000014,21.76000023,13963
162928,64700,61900,2,3,5036,57528,0.058,0.8767,8592,0.306,1380,28730,28730,0.6587,0.0612,0.1825,0.003,0.0381,0.362903226,0.14800759,0.15085389,0.159867173,0.178368121,0.141858142,0.00999001,0.131868132,0.858141858,16.37999916,0.569999993,0.140000001,22.59000015,13915
163046,53500,49700,2,3,3387,9190,0.0142,0.8187,6956,0.7072,1220,26010,26010,0.8804,0.0478,0.0165,3.00E-04,0.0183,0.117272727,0.102727273,0.170909091,0.240909091,0.368181818,0.148571429,0.002857143,0.145714286,0.851428571,16.43000031,0.589999974,0.150000006,19.53000069,17125
163268,44500,42700,1,3,9465,7763,0.1543,0.5463,7093,0.5757,1208,7388,14290,0.556,0.1502,0.1954,0.0044,0.0302,0.391054313,0.17028754,0.181789137,0.157507987,0.099361022,0.310526316,0.020701754,0.289824561,0.689473684,14.64999962,0.50999999,0.310000002,21.53000069,12334
163286,51000,48500,1,3,24898,10127,0.0795,0.7071,8966,0.4267,1270,6759,17433,0.5937,0.1229,0.1374,0.0029,0.0555,0.289782697,0.151167499,0.179916318,0.195977865,0.183155622,0.248658837,0.017398869,0.231259968,0.751341163,16.82999992,0.519999981,0.25,20.44000053,12562
163453,31500,29500,1,3,5905,5540,0.1031,0.3927,5971,0.4051,890,5078,12076,0.0088,0.9146,0.0051,0.0024,0.0049,0.436303828,0.218899522,0.171052632,0.111244019,0.0625,0.395314243,0.018966158,0.376348085,0.604685757,9.670000076,0.589999974,0.400000006,20.70999908,11625
163851,41200,40500,1,3,5874,4676,0.0769,0.6738,5803,0.5049,1130,5564,12452,0.8138,0.0717,0.026,0.0034,0.0211,0.24405002,0.139975797,0.20734167,0.242033078,0.166599435,0.336344086,0.010322581,0.326021505,0.663655914,11.36999989,0.569999993,0.340000004,20.55999947,11000
164076,42500,42200,1,3,13536,4184,0.1212,0.5653,5972,0.4416,1090,6226,14298,0.7545,0.0988,0.03,0.003,0.0197,0.297989031,0.139955312,0.189518586,0.21247207,0.160065001,0.336169285,0.010689354,0.32547993,0.663830716,13.10999966,0.639999986,0.340000004,21.03000069,11314.5
164580,71200,68300,2,3,1717,9692,0,0.8465,10401,0.3711,1245,27248,27248,0.4444,0.028,0.0833,0.0041,0.0431,0.180672269,0.170168067,0.193277311,0.226890756,0.228991597,0.128318584,0.013274336,0.115044248,0.871681416,15.27000046,0.439999998,0.129999995,20.27000046,17125
164739,59300,60400,2,3,4273,8099,0.0831,0.7819,8697,0.4638,1180,24324,24324,0.7103,0.0332,0.0723,9.00E-04,0.0388,0.187371311,0.146877145,0.187371311,0.234042553,0.24433768,0.207898659,0.017138599,0.19076006,0.792101341,14.43999958,0.449999988,0.209999993,19.79000092,15125
164924,66800,54700,2,3,8967,26358,0,0.8937,9453,0.3075,1315,27080,27080,0.7456,0.0544,0.0881,0.0035,0.0641,0.327586207,0.130499406,0.133174792,0.173602854,0.235136742,0.142269997,0.011065444,0.131204553,0.857730003,16.01000023,0.569999993,0.140000001,20.81999969,15187
164988,49700,46600,2,3,15780,16318,0.0201,0.7534,8135,0.5798,1285,28906,28906,0.5967,0.0242,0.125,0.0035,0.0487,0.218776769,0.137228028,0.199417509,0.218776769,0.225800925,0.170828809,0.009771987,0.161056822,0.829171191,14.92000008,0.610000014,0.170000002,19.85000038,16335
165015,45200,40100,2,3,3118,14846,0.0026,0.8426,8248,0.4374,1348,29875,29875,0.6828,0.0247,0.0821,0.0019,0.0253,0.188605108,0.129666012,0.188605108,0.215127701,0.277996071,0.085655315,0.005159959,0.080495356,0.914344685,18.04000092,0.589999974,0.090000004,19.45999908,17125
165024,35300,35000,1,3,7165,4014,0.1414,0.4577,6154,0.7229,1015,4390,10530,0.8123,0.0459,0.0121,0.0028,0.0201,0.303302341,0.157422251,0.246553383,0.211285669,0.081436358,0.381105169,0.022459893,0.358645276,0.618894831,9.489999771,0.620000005,0.379999995,21.44000053,8611
165529,41600,37400,2,3,2268,6447,0.2628,0.5,5969,0.683,980,19870,19870,0.6089,0.0683,0.0141,0.0018,0.0295,0.27484333,0.152193375,0.225604297,0.196956133,0.150402865,0.352112676,0.017102616,0.33501006,0.647887324,12.69999981,0.540000021,0.349999994,22.72999954,8469
165662,34200,32400,2,3,3009,5541,0.0349,0.6636,6971,0.4837,1202,22548,22548,0.8498,0.0199,0.0382,0.0033,0.0505,0.186217009,0.134897361,0.214809384,0.240469208,0.223607038,0.166026134,0.006917756,0.159108378,0.833973866,14.86999989,0.610000014,0.170000002,19.90999985,14500
166018,24800,21100,2,3,1328,34977,0,0.5951,6853,0.5394,1260,28832,28832,0.7605,0.0294,0.0422,0.0075,0.0497,0.248459959,0.158110883,0.207392197,0.203285421,0.18275154,0.105150215,0.006437768,0.098712446,0.894849785,16.82999992,0.629999995,0.109999999,19.68000031,12327.5
166027,102200,71500,2,3,7000,37151,0.0333,0.9781,13114,0.0998,1488,29060,29060,0.4933,0.0739,0.1581,0.0077,0.0731,0.505193187,0.174906523,0.119651018,0.076859161,0.123390112,0.15095986,0.016579407,0.134380454,0.84904014,17.68000031,0.550000012,0.150000006,23.5,3917
166124,50300,47600,2,3,2748,11098,0,0.9008,6857,0.4232,1280,28011,28011,0.7773,0.0302,0.0404,0.0029,0.0499,0.10046729,0.080607477,0.168224299,0.276869159,0.373831776,0.12,0,0.12,0.88,14.64999962,0.519999981,0.119999997,19.32999992,17125
166452,31800,30100,2,3,1381,5661,0.559,0.7407,6162,0.7681,1000,19700,19700,0.3418,0.0529,0.0217,0.0014,0.0253,0.392607393,0.186813187,0.18981019,0.151848152,0.078921079,0.384009009,0.042792793,0.341216216,0.615990991,13.57999992,0.850000024,0.379999995,26.87000084,14125
166513,43200,40800,1,3,6708,6413,0.15,0.4216,8293,0.6213,1030,6213,16651,0.5874,0.028,0.0771,0.0019,0.04,0.359973796,0.166066164,0.202751392,0.181133312,0.090075336,0.382922201,0.029222011,0.35370019,0.617077799,11.09000015,0.460000008,0.379999995,22.51000023,9625
166629,40400,38700,1,3,18064,8132,0.0487,0.6356,7830,0.8195,1135,8410,17263,0.7615,0.0435,0.0706,0.0038,0.0327,0.28450512,0.15331058,0.212832765,0.211467577,0.137883959,0.254688896,0.016671629,0.238017267,0.745311105,14.43999958,0.519999981,0.25,20.69000053,11625
166638,42100,40200,1,3,7293,7198,0.2696,0.3415,7182,0.5505,980,6227,6227,0.4914,0.1466,0.1115,0.0038,0.0657,0.563783627,0.155336997,0.142030662,0.097772635,0.041076078,0.398020502,0.057617533,0.340402969,0.601979498,13.89000034,0.600000024,0.400000006,24.54999924,10500
166683,107300,81900,2,3,4109,7955,0.0097,0.9212,10746,0.1645,1473,29400,29400,0.348,0.0611,0.2816,0.0165,0.118,0.279647436,0.151442308,0.189903846,0.170673077,0.208333333,0.139282736,0.017514596,0.12176814,0.860717264,16.55999947,0.430000007,0.140000001,20.96999931,7744
166692,67100,58300,1,3,897,6015,0.0223,0.5668,6920,0.7213,1035,4818,16960,0.9565,0.0078,0.0167,0.0067,0.01,0.202054795,0.143835616,0.27739726,0.22260274,0.154109589,0.23381295,0.007194245,0.226618705,0.76618705,12.44999981,0.129999995,0.230000004,19.92000008,14500
166948,33400,31000,2,3,1254,6098,0.0781,0.2701,4259,0.7884,870,16100,16100,0.5702,0.114,0.0279,0.0024,0.067,0.363196126,0.198547216,0.209443099,0.151331719,0.07748184,0.396755162,0.038348083,0.35840708,0.603244838,13.10999966,0.660000026,0.400000006,21,6625
167358,53500,50500,2,3,18676,6887,0.224,0.6006,8034,0.6136,1156,25840,25840,0.5888,0.061,0.0636,0.0034,0.0426,0.261538462,0.138304553,0.186970173,0.208320251,0.204866562,0.231893914,0.011900714,0.2199932,0.768106086,14.21000004,0.550000012,0.230000004,20.71999931,17125
167729,36400,33800,1,3,5751,4296,0.2029,0.3705,5985,0.8259,975,4138,11178,0.7997,0.0421,0.0196,0.005,0.0414,0.423076923,0.17260788,0.192776736,0.151031895,0.060506567,0.443773999,0.041689523,0.402084476,0.556226001,10.39000034,0.649999976,0.439999998,22.18000031,8992.5
167899,41800,39200,2,3,3625,7239,0.136,0.658,5773,0.7355,1025,19410,19410,0.5087,0.2342,0.0108,0.0033,0.075,0.396558959,0.18380193,0.166596727,0.157364666,0.095677717,0.402286902,0.052494803,0.3497921,0.597713098,9.590000153,0.639999986,0.400000006,28.90999985,15322.5
167987,38500,37100,1,3,6850,4751,0.1055,0.4946,7168,0.6983,1065,6129,15629,0.7873,0.0575,0.0235,0.0048,0.021,0.308108108,0.153895072,0.229252782,0.20190779,0.106836248,0.351166966,0.029443447,0.321723519,0.648833034,9.779999733,0.519999981,0.349999994,20.65999985,9372
168005,45200,41900,2,3,3893,7913,0.1361,0.5543,8319,0.8198,1020,18760,18760,0.6067,0.0326,0.0593,0.0026,0.0457,0.334636053,0.171958964,0.188080117,0.172936004,0.132388862,0.310306407,0.026740947,0.28356546,0.689693593,13.53999996,0.629999995,0.310000002,20.85000038,13250
168148,58100,49000,2,3,4873,12283,0.0152,0.9031,8154,0.2636,1329,29630,29630,0.545,0.0749,0.1352,0.0035,0.077,0.296453901,0.121985816,0.161702128,0.182269504,0.237588653,0.132830189,0.011320755,0.121509434,0.867169811,17.45000076,0.579999983,0.129999995,20.45999908,12975
168218,48500,43200,2,3,2291,22435,0.0332,0.9079,9207,0.3985,1345,27904,27904,0.4574,0.0563,0.2562,0.0044,0.0533,0.314847943,0.150268336,0.182468694,0.202146691,0.150268336,0.157894737,0.019493177,0.13840156,0.842105263,16.62999916,0.99000001,0.159999996,19.86000061,8500
168254,46300,43400,2,3,3138,5404,0.2871,0.5951,7635,0.7561,1060,20824,20824,0.8289,0.0338,0.0204,0.0019,0.0277,0.202105263,0.140350877,0.254736842,0.263859649,0.138947368,0.322197476,0.010393467,0.311804009,0.677802524,11.22000027,0.439999998,0.319999993,20.70999908,11625
168430,38700,36600,1,3,3982,4393,0.2288,0.4047,6208,0.5113,990,4123,10203,0.7888,0.0409,0.0306,0.0028,0.0412,0.369321922,0.18038183,0.2080316,0.181698486,0.060566162,0.405159332,0.024279211,0.380880121,0.594840668,9.960000038,0.610000014,0.409999996,22.14999962,7500
168591,34900,33600,2,3,1264,6772,0.0158,0.72,6129,0.7896,1133,18854,18854,0.9375,0.0222,0.0134,0.0079,0.015,0.21043771,0.178451179,0.286195286,0.202020202,0.122895623,0.28113879,0.003558719,0.277580071,0.71886121,7.199999809,0.560000002,0.280000001,19.54999924,15375
169248,33400,31500,1,3,19367,4659,0.12,0.523,6351,0.7035,1010,5218,12148,0.8533,0.0589,0.0103,0.0067,0.018,0.279228296,0.173247588,0.246559486,0.209646302,0.091318328,0.397510373,0.00857538,0.388934993,0.602489627,7.519999981,0.600000024,0.400000006,21.20000076,13999
169363,36700,35000,2,3,421,6664,0.1093,0.3953,3804,0.7438,1054,17350,17350,0.8717,0.0808,0.0071,0.019,0.0119,0.296928328,0.14334471,0.290102389,0.174061433,0.09556314,0.338235294,0.025735294,0.3125,0.661764706,10.11999989,0.579999983,0.340000004,24.02000046,13625
169798,32800,30300,1,3,19232,4444,0.2851,0.3768,6401,0.7422,978,5812,15544,0.7098,0.1742,0.0206,0.0059,0.0204,0.418449569,0.152403445,0.182272854,0.167546541,0.079327591,0.405116279,0.020155039,0.38496124,0.594883721,10.42000008,0.610000014,0.409999996,22.5,14160.5
169910,37800,34400,1,3,10349,6348,0.1846,0.3332,6157,0.7347,950,6188,11928,0.7967,0.0737,0.0159,0.0072,0.014,0.370235935,0.169328494,0.234845735,0.162250454,0.063339383,0.418682399,0.014355949,0.40432645,0.581317601,7,0.49000001,0.419999987,21.87999916,9625
170037,34500,30900,2,3,2039,11422,0.2271,0.396,4653,0.7572,1070,14420,14420,0.7886,0.1422,0.0078,0.0029,0.0383,0.326070624,0.241172051,0.241172051,0.145003757,0.046581518,0.404494382,0.027657736,0.376836647,0.595505618,7.190000057,0.629999995,0.400000006,27.37000084,10500
170082,34900,33500,1,3,17425,4895,0.1426,0.4904,5606,0.7296,1070,5254,12216,0.882,0.0503,0.0199,0.0059,0.0258,0.282008043,0.167466598,0.253210533,0.207160462,0.090154365,0.354719562,0.007387141,0.347332421,0.645280438,7.610000134,0.620000005,0.349999994,21.14999962,11871.5
